Pi	Pf	P	N
57	82	25	5
57	105	48	10
57	128	71	15
57	150	93	20
57	173	116	25
57	197	140	30
57	214	157	34
57	239	182	39
57	267	210	45
57	289	232	50
56	82	26	5
56	106	50	10
56	126	70	15
56	150	94	20
56	175	119	25
56	192	136	30
56	210	154	34
56	233	177	39
56	257	201	44
56	282	226	49
57	81	24	5
57	105	48	10
57	126	69	15
57	150	93	20
57	172	115	25
57	197	140	30
57	220	163	35
57	244	187	40
57	266	209	45
57	289	232	50
58	82	24	5
58	106	48	10
58	128	70	15
58	151	93	20
58	173	115	25
58	196	138	30
58	218	160	35
58	241	183	40
58	264	206	45
58	289	231	50
